x, y (GM)
878,37587
879,37450
880,37314
881,37177
882,37041
883,36906
884,36770
885,36635
886,36500
887,36366
888,36232
889,36098
890,35965
891,35832
892,35699
893,35567
894,35435
895,35303
896,35171
897,35040
898,34910
899,34779
900,34649
901,34519
902,34390
903,34261
904,34132
905,34003
906,33875
907,33747
908,33620
909,33493
910,33366
911,33239
912,33113
913,32987
914,32861
915,32736
916,32611
917,32486
918,32362
919,32238
920,32114
921,31991
922,31868
923,31745
924,31623
925,31501
926,31379
927,31257
928,31136
929,31015
930,30895
931,30774
932,30655
933,30535
934,30416
935,30297
936,30178
937,30060
938,29942
939,29824
940,29706
941,29589
942,29472
943,29356
944,29240
945,29124
946,29008
947,28893
948,28778
949,28663
950,28549
951,28435
952,28321
953,28208
954,28095
955,27982
956,27869
957,27757
958,27645
959,27533
960,27422
961,27311
962,27200
963,27090
964,26980
965,26870
966,26760
967,26651
968,26542
969,26433
970,26325
971,26217
972,26109
973,26002
974,25895
975,25788
976,25681
977,25575
978,25469
979,25363
980,25258
981,25153
982,25048
983,24943
984,24839
985,24735
986,24631
987,24528
988,24425
989,24322
990,24220
991,24118
992,24016
993,23914
994,23813
995,23712
996,23611
997,23510
998,23410
999,23310
1000,23210
1001,NaN
1002,NaN
1003,NaN
1004,NaN
1005,NaN
1006,NaN
1007,NaN
1008,NaN
1009,NaN
1010,NaN
1011,NaN
1012,NaN
1013,NaN
1014,NaN
1015,NaN
1016,NaN
1017,NaN
1018,NaN
1019,NaN
1020,NaN
1021,NaN
1022,NaN
1023,NaN
1024,NaN
1025,NaN
1026,NaN
1027,NaN
1028,NaN
1029,NaN
1030,NaN
1031,NaN
1032,NaN
1033,NaN
1034,NaN
1035,NaN
1036,NaN
1037,NaN
1038,NaN
1039,NaN
1040,NaN
1041,NaN
1042,NaN
1043,NaN
1044,NaN
1045,NaN
1046,NaN
1047,NaN
1048,NaN
1049,NaN
1050,NaN
1051,NaN
1052,NaN
1053,NaN
1054,NaN
1055,NaN
1056,NaN
1057,NaN
1058,NaN
1059,NaN
1060,NaN
1061,NaN
1062,NaN
1063,NaN
1064,NaN
1065,NaN
1066,NaN
1067,NaN
1068,NaN
1069,NaN
1070,NaN
1071,NaN
1072,NaN
1073,NaN
1074,NaN
1075,NaN
1076,NaN
1077,NaN
1078,NaN
1079,NaN
1080,NaN
1081,NaN
1082,NaN
1083,NaN
1084,NaN
1085,NaN
1086,NaN
1087,NaN
1088,NaN
1089,NaN
1090,NaN
1091,NaN
1092,NaN
1093,NaN
1094,NaN
1095,NaN
1096,NaN
1097,NaN
1098,NaN
1099,NaN
1100,NaN
