Wavelength,Excitation,Emission
579,5.064668198,0
580,5.048551513,0
581,5.012288972,0
582,4.887384665,0
583,4.919618035,0
584,4.931705548,0
585,4.859180467,0
586,4.806801241,0
587,4.730246988,0
588,4.814859583,0
589,4.746363673,0
590,4.637576051,0
591,4.653692735,0
592,4.609371852,0
593,4.605342681,0
594,4.508642572,0
595,4.452234175,0
596,4.444175833,0
597,4.387767436,0
598,4.319271526,0
599,4.359563238,0
600,4.363592409,0.528893251
601,4.295096499,0.521469139
602,4.194367219,0.523887301
603,4.222571417,0.517271511
604,4.113783795,0.520641644
605,4.178250534,0.521317295
606,4.133929651,0.513220752
607,4.033200371,0.511211288
608,4.069462911,0.52007071
609,3.99693783,0.514932821
610,3.892179379,0.515969238
611,3.835770982,0.524178768
612,3.872033523,0.518193552
613,3.867601434,0.517816174
614,3.791450099,0.508894477
615,3.787420928,0.513076079
616,3.778959668,0.503982195
617,3.694347073,0.502216853
618,3.654458278,0.498671898
619,3.618195737,0.498838012
620,3.565816512,0.505229365
621,3.504976026,0.498173411
622,3.469116403,0.492627701
623,3.436480116,0.504057568
624,3.416737177,0.50517858
625,3.344212096,0.495348234
626,3.295862041,0.496603307
627,3.303920384,0.494566548
628,3.230992385,0.489642411
629,3.162496474,0.498757663
630,3.170957734,0.498712146
631,3.138724364,0.502323692
632,3.12260768,0.500068205
633,3.042024256,0.504310105
634,3.046053427,0.498824986
635,3.017849228,0.509337789
636,2.953382489,0.484534011
637,2.933236633,0.497368162
638,2.892944921,0.50027603
639,2.852653209,0.501730366
640,2.82041984,0.508368036
641,2.784157299,0.521310929
642,2.832507353,0.516951871
643,2.7559531,0.512551248
644,2.711632217,0.505050957
645,2.711632217,0.54044174
646,2.679398848,0.526421596
647,2.699544704,0.531314487
648,2.614932108,0.526070635
649,2.55449454,0.54797496
650,2.526290342,0.54483885
651,2.498086144,0.549537087
652,2.530319513,0.556953589
653,2.477940288,0.552386267
654,2.457794432,0.577528346
655,2.477940288,0.583654136
656,2.457794432,0.581323129
657,2.397356864,0.579890526
658,2.41750272,0.580429408
659,2.377211008,0.593906572
660,2.336919296,0.596754654
661,2.296627584,0.606539117
662,2.272452557,0.6170959
663,2.159635763,0.634572745
664,2.228131673,0.623628413
665,2.127402393,0.628744569
666,2.171723277,0.63846588
667,2.163664934,0.659815956
668,2.062935654,0.66767972
669,2.099198195,0.689147246
670,2.058906483,0.707294547
671,2.046818969,0.735645255
672,1.986381401,0.76819381
673,1.917885491,0.754997795
674,1.925943833,0.785867211
675,1.954148032,0.813959308
676,1.942060518,0.832130538
677,1.921914662,0.873596765
678,1.901768806,0.909887196
679,1.788952013,0.939316691
680,1.736572787,0.983820457
681,1.748660301,1.040301022
682,1.664047705,1.076405581
683,1.688222733,1.115221379
684,1.603610137,1.165577324
685,1.639872678,1.219770495
686,1.627785165,1.290038424
687,1.563318425,1.381622841
688,1.567347597,1.443214512
689,1.474676659,1.53821692
690,1.466618317,1.630710498
691,1.486764173,1.729680315
692,1.458559974,1.807267859
693,1.398122406,1.922437202
694,1.373947379,2.046718798
695,1.305451469,2.211594047
696,1.293363955,2.357154224
697,1.261130585,2.518252472
698,1.220838873,2.664072869
699,1.212780531,2.837863449
700,1.285305613,3.080731062
701,1.253072243,3.271537174
702,1.245013901,3.523759696
703,1.224868045,3.794418499
704,1.172488819,4.02592891
705,1.188605504,4.34739897
706,1.132197107,4.676072145
707,1.091905395,5.015561518
708,1.116080422,5.387302124
709,1.103992909,5.709275501
710,1.059672025,6.154677952
711,1.07578871,6.608170945
712,1.083847053,7.060405207
713,1.071759539,7.531666367
714,1.015351142,8.025310142
715,1.035496998,8.652168039
716,0.999234457,9.269538356
717,1.023409485,9.941301108
718,0.926709376,10.50490239
719,0.971030259,11.25580515
720,0.967001088,12.04175454
721,0.97505943,12.76824774
722,0.938796889,13.65617199
723,0.910592691,14.59447568
724,0.914621862,15.33755698
725,0.962971917,16.41841192
726,0.97505943,17.4351837
727,0.971030259,18.29580091
728,0.995205286,19.28417157
729,0.938796889,20.59160883
730,0.902534349,21.68630675
731,0.894476006,22.90638145
732,0.938796889,24.14244345
733,0.934767718,25.35686201
734,0.930738547,26.70092025
735,0.922680205,27.90765316
736,0.930738547,29.34921393
737,0.870300979,30.90895209
