Wavelength,Excitation,Emission
300,100,0
301,97.56630231,0
302,95.22502352,0
303,93.1378967,0
304,91.13933799,0
305,89.12922693,0
306,87.09601113,0
307,85.21297605,0
308,83.21056656,0
309,81.15039526,0
310,79.15953813,0
311,77.24569674,0
312,75.34725851,0
313,73.56434391,0
314,71.80068324,0
315,70.18720328,0
316,68.60838041,0
317,67.08346857,0
318,65.72414059,0
319,64.33015552,0
320,63.12485903,0
321,61.95036885,0
322,60.87599914,0
323,59.8747944,0
324,58.8889928,0
325,57.96865459,0
326,57.12533213,0
327,55.73519785,0
328,55.26540177,0
329,54.7647994,0
330,54.09091159,0
331,53.43242693,0
332,52.84325645,0
333,52.22327966,0
334,51.68416941,0
335,51.12195444,0
336,50.53663474,0
337,49.98212134,0
338,49.4738174,0
339,48.98861817,0
340,48.46876186,0
341,48.01436894,0
342,47.60618546,0
343,47.15564333,0
344,46.71665356,0
345,46.25070827,0
346,45.83867401,0
347,45.43434132,0
348,44.99150076,0
349,44.64878068,0
350,44.2097909,0
351,43.85936924,0
352,43.43963341,0
353,43.05070387,0
354,42.65022197,0
355,42.25359086,0
356,41.96093101,0
357,41.56815069,0
358,41.21772903,0
359,40.97127863,0
360,40.55924437,0
361,40.21652428,0
362,39.89690892,0
363,39.58499513,0
364,39.26923056,0
365,38.90725653,0
366,38.59110688,0
367,38.2718766,0
368,37.97536596,0
369,37.66691788,0
370,37.37079233,0
371,37.0704309,0
372,36.75466633,0
373,36.49281278,0
374,36.19206628,0
375,35.85743285,0
376,35.57208949,0
377,35.25285921,0
378,34.97906822,0
379,34.57512061,0
380,34.34792415,0
381,33.87812808,0
382,33.78185839,0
383,33.41218279,0
384,33.10373471,0
385,32.93815085,0
386,32.62662214,0
387,32.35321623,0
388,32.16837843,0
389,31.86031543,0
390,31.64467134,0
391,31.36702956,0
392,31.05935164,0
393,30.81290124,0
394,30.57030163,0
395,30.31229887,0
396,30.05044532,0
397,29.85790594,0
398,29.58450003,0
399,29.31879569,0
400,29.09930081,0
401,28.84899962,0
402,28.59099686,0
403,28.3638004,0
404,28.10579764,0
405,27.86319802,0
406,27.58979211,0
407,27.38184959,0
408,27.12384683,0
409,26.94247474,0
410,26.69255863,0
411,26.45766059,0
412,26.24201649,0
413,26.01482003,0
414,25.76066806,0
415,25.53347159,0
416,25.27508375,0
417,25.04442158,0
418,24.83262827,0
419,24.54767,0
420,24.32817511,0
421,24.07017235,0
422,23.88533455,0
423,23.71204911,0
424,23.4078369,0
425,23.2229991,0
426,22.96114555,0
427,22.73779988,0
428,22.53370814,0
429,22.31421326,0
430,22.10627073,0
431,21.83286482,0
432,21.67113175,0
433,21.42083056,0
434,21.20903725,0
435,20.97799,0
436,20.75464432,0
437,20.49279078,0
438,20.29254983,0
439,20.06150258,0
440,19.92287423,0
441,19.66102068,0
442,19.42227185,0
443,19.20662776,0
444,19.01408838,0
445,18.75993641,0
446,18.5481431,0
447,18.31709585,0
448,18.08219781,0
449,17.88580765,0
450,17.55977431,0
451,17.34284661,0
452,17.1253688,0
453,16.90844111,0
454,16.69444735,0
455,16.47751965,0
456,16.26444275,0
457,16.04678157,0
458,15.83792219,0
459,15.62576214,0
460,15.41818635,0
461,15.21464473,0
462,15.01440378,0
463,14.81526305,0
464,14.61905626,0
465,14.42670026,0
466,14.23929527,0
467,14.05317387,0
468,13.86741922,0
469,13.69356533,0
470,13.51571396,0
471,13.34756291,0
472,13.17592781,0
473,13.01674359,0
474,12.85466211,0
475,12.7000805,0
476,12.5473326,0
477,12.39806874,0
478,12.24953836,0
479,12.10779271,0
480,11.97026459,0
481,11.83640388,0
482,11.7080443,0
483,11.57675078,0
484,11.45499255,0
485,11.33506802,0
486,11.21972777,0
487,11.10347066,0
488,10.99784906,0
489,10.89459294,0
490,10.79229036,0
491,10.69602067,0
492,10.60378514,0
493,10.5139151,0
494,10.42811588,0
495,10.34614912,0
496,10.26564933,0
497,10.18734998,0
