wavelength,excitation,emission
746,0,1.1817
747,0,0.76669
748,0,0.2139
749,0,0.07381
750,0,1.5538
751,0,2.1806
752,0,-0.13069
753,0,0.7157
754,0,0.66847
755,0,1.5697
756,0,3.6028
757,0,5.138
758,0,5.439
759,0,3.0654
760,0,1.8145
761,0,3.418
762,0,2.1832
763,0,1.6367
764,0,0.9311
765,0,2.6069
766,0,2.873
767,0,3.3806
768,0,3.9187
769,0,2.0901
770,0,2.7103
771,0,3.3645
772,0,1.1429
773,0,1.8854
774,0,3.3968
775,0,2.9584
776,0,2.9037
777,0,2.8441
778,0,2.9684
779,0,4.2227
780,0,3.3395
781,0,2.5731
782,0,4.9557
783,0,3.9578
784,0,2.0109
785,0,4.5152
786,0,2.9231
787,0,3.7126
788,0,2.9714
789,0,3.3133
790,0,5.6932
791,0,5.6212
792,0,6.0247
793,0,5.5271
794,0,6.1023
795,0,7.4303
796,0,5.7455
797,0,5.2867
